FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
245,0,0,0,1,23,0,1,3,2,0,0,0,0,4,2,24,0,0
247,0,0,0,24,18,0,1,16,1,0,1,2,6,27,5,5,0,0
248,0,0,0,43,27,0,2,37,10,0,2,1,8,42,7,17,0,3
249,0,0,0,19,22,1,0,22,9,3,2,2,17,16,5,13,0,3
250,0,0,0,24,30,0,0,18,9,2,3,6,14,34,14,3,0,1
251,0,0,0,9,21,1,0,12,2,0,0,3,27,11,2,14,0,2
252,0,0,0,46,38,1,1,41,7,1,0,2,20,44,30,17,0,3
253,0,0,0,24,53,1,0,23,13,2,0,0,21,30,21,18,0,3
254,0,0,0,15,49,0,0,24,2,0,0,2,21,10,13,19,0,5
255,0,0,0,14,22,0,1,22,1,1,0,3,11,9,8,6,0,3
256,0,0,0,25,7,1,4,37,1,2,1,2,9,31,15,12,0,2
257,0,0,0,11,25,0,0,24,4,3,0,1,11,22,28,29,0,3
258,0,0,0,29,30,0,0,28,0,9,0,1,14,21,49,48,0,0
259,0,0,0,21,17,0,0,16,5,0,3,4,2,24,67,71,0,2
260,0,0,0,14,5,0,1,17,1,5,0,1,2,18,30,52,0,0
261,0,0,0,6,10,0,0,8,0,2,1,0,3,10,4,9,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
270,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0
271,0,0,0,14,15,0,4,13,1,0,0,1,5,23,6,12,0,0
274,0,0,0,11,16,0,3,6,3,0,0,1,12,46,11,29,0,1
276,0,0,0,15,15,0,1,6,7,0,1,0,3,16,1,19,0,6
277,0,0,0,3,27,0,0,5,3,0,2,1,2,3,7,7,0,0
278,0,0,0,15,25,1,0,10,2,1,2,1,7,23,0,7,0,2
279,0,0,0,37,26,0,2,31,2,2,0,1,13,15,11,25,1,2
280,0,0,0,8,25,3,1,13,2,1,0,0,6,10,6,13,0,5
281,0,0,0,42,38,0,0,45,11,4,3,5,26,52,12,10,0,32
282,0,0,0,24,34,1,0,16,5,1,2,0,26,22,8,9,0,3
284,0,0,0,18,116,0,0,26,4,0,0,0,19,14,18,6,0,8
285,0,0,0,22,62,1,0,41,5,7,1,0,26,11,22,13,0,3
286,0,0,0,35,18,0,4,29,4,1,1,0,31,41,15,22,0,11
287,0,0,0,17,8,0,0,24,3,0,0,2,24,15,16,6,0,4
288,0,0,0,27,30,0,0,23,5,4,0,1,11,24,28,6,1,1
289,0,0,0,25,18,0,0,24,2,1,1,1,5,18,54,22,0,0
290,0,0,0,19,20,0,0,20,1,0,0,0,7,14,75,14,0,3
291,0,0,0,22,14,0,1,20,0,0,0,1,1,6,23,14,0,2
292,0,0,0,27,10,0,0,27,2,0,2,0,15,51,50,8,0,1
293,0,0,0,19,9,1,0,13,1,4,0,1,2,20,15,11,2,0
294,0,0,0,6,4,0,0,7,2,1,0,0,0,2,11,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,5,0,0,1,0,1,0,0,1,3,3,5,0,0
300,0,0,0,10,23,1,0,15,2,2,2,2,14,55,3,5,0,2
301,0,0,0,3,8,0,0,3,0,1,0,0,2,3,2,9,0,0
302,0,0,0,6,14,0,1,9,4,0,1,0,9,19,8,20,0,1
303,0,0,0,4,26,0,0,6,2,1,0,3,3,6,3,10,0,3
304,0,0,0,20,30,0,6,26,3,3,1,0,20,27,17,27,0,0
305,0,0,0,18,46,0,3,17,7,1,0,2,25,36,11,26,0,5
306,0,0,0,11,13,6,0,9,2,3,0,1,0,9,7,11,0,1
307,0,0,0,12,53,0,2,11,0,2,0,1,10,15,13,7,0,0
308,0,0,0,41,61,0,0,29,9,0,0,2,42,38,5,6,0,5
309,0,0,0,43,41,0,0,41,7,0,0,1,63,33,1,10,1,11
310,0,0,0,34,78,0,2,42,3,5,3,7,34,34,76,43,0,5
311,0,0,0,21,51,1,2,21,3,1,3,6,33,21,43,10,0,9
312,0,0,0,30,14,0,0,23,4,1,1,7,26,36,54,24,0,11
313,0,0,0,39,18,0,5,22,5,0,3,1,28,31,50,19,0,5
314,0,0,0,64,23,0,0,50,5,3,1,0,21,58,50,12,0,3
315,0,0,0,29,21,0,4,25,5,0,1,1,12,23,58,12,0,0
318,0,0,0,40,12,0,0,41,5,1,0,1,10,60,21,9,0,3
319,0,0,0,18,3,0,1,19,1,1,3,1,4,31,19,13,3,0
320,0,0,0,6,3,0,1,3,2,0,3,0,0,7,11,5,0,2
321,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
